id,acc_y_vec,vel_y_vec,acc_x_vec,time_micros_vec
0,0,0,0,0
1,0.04,0.0521064,-0.04,1.30266
2,0.03984,0.052953,0.00016,0.02125
3,0.03968064,0.056270301504,0.00015936,0.0836
4,-0.010586052415729,0.053615637139708,0.00015557340303,0.25077
5,-0.010543708206066,0.053400018306894,0.000154951109418,0.02045
6,0.029498466626758,0.054025385799381,-0.03984566869502,0.0212
7,0.029380472760251,0.056447218169008,-0.03968628602024,0.08243
8,0.02926295086921,0.057062618025788,-0.039527540876159,0.02103
9,0.029145899065733,0.057681385462953,0.000630569287346,0.02123
10,0.02902931546947,0.060133782033814,0.000628047010197,0.08448
11,0.028913198207592,0.060718985165536,0.000625534822156,0.02024
12,0.018797545414762,0.061106778527442,-0.039376967317133,0.02063
13,0.018722355233103,0.062653619516801,-0.039219459447864,0.08262
14,0.018647465812171,0.063048572842703,-0.039062581610073,0.02118
15,-0.021427124051078,0.062593032185377,0.011093668716368,0.02126
16,-0.021341415554874,0.060823828835878,0.011049294041502,0.0829
17,-0.021256049892654,0.060370649852167,0.011005096865336,0.02132
18,0.018828974306916,0.060775096220279,-0.029038923522125,0.02148
19,0.018753658409689,0.06232096028299,-0.028922767828037,0.08243
20,0.01867864377605,0.062710223219283,-0.028807076756725,0.02084
21,0.018603929200946,0.063105742754095,-0.028691848449698,0.02126
22,0.018529513484142,0.06463646586302,-0.028577081055899,0.08261
23,-0.021618426151516,0.063741246836086,0.011651078359251,0.04141
24,-0.02153195244691,0.061904140653315,0.011604474045814,0.08532
25,-0.021445824637122,0.061460212083327,0.011558056149631,0.0207
26,-0.021360041338573,0.058929744819764,0.011511823925033,0.02089
27,-0.021274601173219,0.055074979125994,0.011465776629333,0.08163
28,-0.021189502768526,0.052364566750785,0.011419913522815,0.02169
29,0.018895255242548,0.05062373286973,-0.028625766131276,0.02137
30,0.018819674221578,0.050047694933681,-0.028511263066751,0.08289
31,0.018744395524691,0.048285935126381,-0.028397218014484,0.0213
32,0.018669417942593,0.046431119133002,0.011716370857574,0.02159
33,0.018594740270822,0.045674870693399,0.011669505374144,0.08208
34,0.018520361309739,0.043758209694904,0.011622827352647,0.02109
35,0.0184462798645,0.041744841860672,-0.018423663956764,0.02125
